fdc_id,description,diet_guide_group
2512378,"Buckwheat, whole grain",Whole Grains
2710820,"Bulgur, dry, raw",Whole Grains
2710819,"Chia seeds, dry, raw",Whole Grains
2710835,"Corn flour, masa harina, white or yellow, dry, raw",Refined Grains
2710827,"Einkorn, grain, dry, raw",Whole Grains
2710828,"Farro, pearled, dry, raw",Refined Grains
2003586,"Flour, 00",Refined Grains
2512371,"Flour, amaranth",Whole Grains
2512376,"Flour, barley",Whole Grains
790146,"Flour, bread, white, enriched, unbleached",Refined Grains
2512374,"Flour, buckwheat",Whole Grains
790276,"Flour, corn, yellow, fine meal, enriched",Refined Grains
2261421,"Flour, oat, whole grain",Whole Grains
1104913,"Flour, pastry, unenriched, unbleached",Refined Grains
2512372,"Flour, quinoa",Whole Grains
1104812,"Flour, rice, brown",Whole Grains
1104867,"Flour, rice, glutinous",Refined Grains
790214,"Flour, rice, white, unenriched",Refined Grains
2512375,"Flour, rye",Whole Grains
2003588,"Flour, semolina, coarse and semi-coarse",Refined Grains
2003589,"Flour, semolina, fine",Refined Grains
2512373,"Flour, sorghum",Whole Grains
2003587,"Flour, spelt, whole grain",Whole Grains
789890,"Flour, wheat, all-purpose, enriched, bleached",Refined Grains
789951,"Flour, wheat, all-purpose, enriched, unbleached",Refined Grains
790018,"Flour, wheat, all-purpose, unenriched, unbleached",Refined Grains
790085,"Flour, whole wheat, unenriched",Whole Grains
2710829,"Fonio, grain, dry, raw",Whole Grains
2710830,"Khorasan, grain, dry, raw",Whole Grains
2512379,"Millet, whole grain",Whole Grains
2346396,"Oats, whole grain, rolled, old fashioned",Whole Grains
2346397,"Oats, whole grain, steel cut",Whole Grains
2710825,"Rice, black, unenriched, raw",Whole Grains
2512380,"Rice, brown, long grain, unenriched, raw",Whole Grains
2710838,"Rice, red, unenriched, dry, raw",Whole Grains
2512381,"Rice, white, long grain, unenriched, raw",Refined Grains
2710839,"Sorghum bran, white, unenriched, dry, raw",Refined Grains
2710840,"Sorghum flour, white, pearled, unenriched, dry, raw",Refined Grains
2710841,"Sorghum grain, white, pearled, unenriched, dry, raw",Refined Grains
2710842,"Sorghum, whole grain, white, dry, raw",Whole Grains
2710821,"Wild rice, dry, raw",Whole Grains
334536,"Restaurant, Chinese, fried rice, without meat",Refined Grains
334462,"Restaurant, Chinese, sweet and sour pork","Meats, Poultry, Eggs"
746774,"Restaurant, Chinese, sweet and sour pork","Meats, Poultry, Eggs"
334720,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",
334628,"Restaurant, Latino, tamale, pork",
